"";"Bill_shock";"Online_account";"Opt_In_Mail";"Opt_In_Post";"Opt_In_Tel";"MA_Grundversorger";"MA_Erweitert";"MA_Restlich";"Recovered";"Continuous_relationship";"Age";"Consumption";"Annual_account";"DBII";"Minimum_contract_term";"Customer_since_interval";"Contract_start_date_interval";"Longitude";"Latitude";"Inhabitants";"Cluster"
"1";1;0;1;1;0;1;0;0;0;0;47;4532;278,21;18,0772772033563;24;151;13;48,1381;8,50761;5825;"0"
"2";0;0;0;1;0;1;0;0;0;0;61;3159;181,32;14,0444293255683;24;151;37;48,0056;8,47567;5025;"7"
"3";1;0;1;1;0;1;0;0;0;0;37;4923;565,1;17,5840122154472;12;143;0;47,907;8,65239;5991;"0"
"4";0;0;0;1;0;1;0;0;0;0;68;4043;875,55;17,9429432432221;12;156;13;47,9598;8,50041;21340;"7"
"5";1;0;0;1;0;1;0;0;0;0;72;3697;322,13;15,6247667599366;24;158;13;47,998;8,59023;12315;"7"
"6";1;0;0;1;0;1;0;0;0;0;75;3238;468,94;16,0290610194389;24;151;13;47,6246;8,12394;7240;"7"
"7";0;0;0;1;0;1;0;0;0;0;98;4450;217,61;17,835583109319;24;160;37;47,8193;8,67623;4577;"7"
"8";0;0;0;1;0;0;0;1;0;0;78;2858;143,88;14,2227066248999;24;160;13;48,0543;8,4237;17568;"1"
"9";1;0;0;1;0;0;1;0;0;0;80;1845;71,52;8,2309326658576;12;152;13;47,9376;8,19061;11538;"5"
"10";0;0;0;1;0;0;1;0;0;0;47;9660;232,48;33,6590747540539;24;152;13;47,9376;8,19061;11538;"0"
"11";0;0;0;1;0;1;0;0;0;0;83;2657;139,38;12,5687396392276;24;151;37;48,1381;8,50761;5825;"7"
"12";0;0;0;1;0;0;0;1;0;0;77;5672;310,09;26,3716907348154;24;148;0;48,1917;8,34549;3632;"1"
"13";0;0;0;1;0;1;0;0;0;0;65;4140;128,69;15,5455324168997;12;152;37;47,9115;8,27922;1954;"7"
"14";0;0;0;1;0;1;0;0;0;0;79;4650;497,25;18,6162526630084;24;155;13;47,907;8,65239;5991;"7"
"15";0;0;0;1;0;1;0;0;0;0;67;5189;147,02;18,4276193876144;24;154;33;47,9598;8,50041;21340;"7"
"16";0;0;0;1;0;1;0;0;0;0;38;2386;162,13;11,7731804825462;24;160;13;48,0204;8,29805;3904;"7"
"17";1;0;1;1;1;1;0;0;0;0;69;4661;292,81;13,8620188845896;24;154;13;47,8193;8,67623;4577;"0"
"18";0;0;0;1;0;1;0;0;0;0;59;5626;-91,66;15,2752016296296;12;155;13;47,9598;8,50041;21340;"7"
"19";0;0;0;1;0;1;0;0;0;0;38;7060;496,77;25,5021239086551;24;159;13;47,8886;8,91306;3660;"7"
"20";0;0;0;1;0;0;1;0;0;0;47;5276;-14,24;19,1138811164804;12;152;13;47,9376;8,19061;11538;"5"
"21";0;0;1;1;0;1;0;0;0;0;87;4228;-124,99;15,2319912786548;12;141;0;47,9115;8,27922;1954;"0"
"22";0;0;0;1;0;0;0;1;0;0;65;2339;114,16;13,7719133618844;12;160;30;48,0543;8,4237;17568;"1"
"23";0;0;1;1;0;1;0;0;0;0;66;3866;179,48;14,8316426604029;12;159;13;47,9319;8,87866;4507;"0"
"24";0;0;0;1;0;1;0;0;0;0;39;5848;235,6;19,9930064430755;12;155;37;47,907;8,65239;5991;"7"
"25";0;0;0;1;0;0;0;1;0;0;45;1765;72,45;10,5183340909091;12;160;13;48,1917;8,34549;3632;"1"
"26";0;0;0;1;0;1;0;0;0;0;77;6480;279,55;21,6378958702065;12;155;13;47,907;8,65239;5991;"7"
"27";0;0;0;1;0;1;0;0;0;0;66;2548;-34,76;13,0706981860196;12;159;13;47,8233;8,8224;3631;"7"
"28";1;0;0;1;0;1;0;0;0;0;89;4169;319,27;17,0119980253897;24;156;13;47,9598;8,50041;21340;"7"
"29";0;0;0;1;0;1;0;0;0;0;61;4547;-120,71;18,1204485044584;24;158;13;47,814;8,32346;6774;"7"
"30";0;0;0;1;0;1;0;0;0;0;61;7328;59,73;8,37295333333334;24;155;24;47,907;8,65239;5991;"7"
"31";0;0;0;1;0;1;0;0;0;0;57;5107;197,85;19,7664633632735;24;160;37;47,9598;8,50041;21340;"7"
"32";0;0;0;1;0;1;0;0;0;0;66;7233;458,01;32,3163782211342;24;139;0;48,0056;8,47567;5025;"7"
"33";0;1;0;1;0;1;0;0;0;0;53;3652;194,23;15,4909273924356;24;151;37;48,0056;8,47567;5025;"2"
"34";1;0;0;1;0;0;0;1;0;0;58;3803;251,9;17,1314157192051;24;151;37;48,0543;8,4237;17568;"1"
"35";0;0;0;1;0;1;0;0;0;0;77;6121;451,72;22,7452837931956;24;151;37;48,1381;8,50761;5825;"7"
"36";0;0;0;1;0;0;0;1;0;0;49;3931;144,43;17,5261448816472;24;160;13;48,0543;8,4237;17568;"1"
"37";1;0;0;1;0;1;0;0;0;0;73;13251;925,84;40,5650769985053;12;155;35;47,8961;8,50809;7436;"0"
"38";0;0;0;1;0;1;0;0;0;0;77;5516;149,09;20,9667541137803;24;158;13;48,095;8,55263;3581;"7"
"39";0;0;0;1;0;1;0;0;0;0;50;13974;1033,24;45,43915043036;12;158;13;48,1533;8,42231;5895;"0"
"40";0;0;1;1;0;1;0;0;0;0;48;8050;213,93;25,1384877990162;12;147;0;47,9393;8,72714;5581;"0"
"41";0;0;0;1;0;1;0;0;0;0;50;2907;1033,24;13,2257048979543;12;158;13;48,1533;8,42231;5895;"7"
"42";1;0;0;1;0;1;0;0;0;0;86;4491;483,7;17,956447848675;24;158;13;47,998;8,59023;12315;"7"
"43";1;0;0;1;0;1;0;0;0;0;63;4435;380,59;17,7922463353414;24;153;13;47,8646;8,07199;1745;"7"
"44";0;0;0;1;0;1;0;0;0;0;60;4399;119,01;17,6857921799117;24;158;13;48,095;8,55263;3581;"7"
"45";1;0;0;1;0;0;0;1;0;0;55;5553;684,72;24,3113560540396;12;151;13;48,0543;8,4237;17568;"1"
"46";0;0;0;1;0;1;0;0;0;0;59;4077;125,24;16,7397385976624;24;158;13;48,1533;8,42231;5895;"7"
"47";0;0;0;1;0;1;0;0;0;0;76;6382;147,88;2,71912678551957;24;154;22;47,9393;8,72714;5581;"7"
"48";1;0;0;1;0;1;0;0;0;0;96;6330;547,4;21,24828341644;12;159;13;47,8233;8,8224;3631;"0"
"49";0;0;0;1;0;1;0;0;0;0;51;6442;161,15;24,9927865748315;12;141;0;47,8646;8,07199;1745;"7"
