"";"Bill_shock";"Online_account";"Opt_In_Mail";"Opt_In_Post";"Opt_In_Tel";"MA_Grundversorger";"MA_Erweitert";"MA_Restlich";"Recovered";"Continuous_relationship";"Age";"Consumption";"Annual_account";"DBII";"Minimum_contract_term";"Customer_since_interval";"Contract_start_date_interval";"Longitude";"Latitude";"Inhabitants";"Cluster"
"1";1;0;1;1;0;1;0;0;0;0;47;4532;278,21;18,0772772033563;24;151;13;48,1381;8,50761;5825;"7"
"2";1;0;1;1;0;1;0;0;0;0;37;4923;565,1;17,5840122154472;12;143;0;47,907;8,65239;5991;"0"
"3";0;0;0;1;0;1;0;0;0;0;68;4043;875,55;17,9429432432221;12;156;13;47,9598;8,50041;21340;"6"
"4";1;0;0;1;0;1;0;0;0;0;72;3697;322,13;15,6247667599366;24;158;13;47,998;8,59023;12315;"6"
"5";1;0;0;1;0;1;0;0;0;0;75;3238;468,94;16,0290610194389;24;151;13;47,6246;8,12394;7240;"6"
"6";0;0;0;1;0;1;0;0;0;0;98;4450;217,61;17,835583109319;24;160;37;47,8193;8,67623;4577;"6"
"7";0;0;0;1;0;0;1;0;0;0;47;9660;232,48;33,6590747540539;24;152;13;47,9376;8,19061;11538;"0"
"8";0;0;0;1;0;0;0;1;0;0;77;5672;310,09;26,3716907348154;24;148;0;48,1917;8,34549;3632;"1"
"9";0;0;0;1;0;1;0;0;0;0;65;4140;128,69;15,5455324168997;12;152;37;47,9115;8,27922;1954;"6"
"10";0;0;0;1;0;1;0;0;0;0;79;4650;497,25;18,6162526630084;24;155;13;47,907;8,65239;5991;"6"
"11";0;0;0;1;0;1;0;0;0;0;67;5189;147,02;18,4276193876144;24;154;33;47,9598;8,50041;21340;"6"
"12";0;0;0;1;0;1;0;0;0;0;59;5626;-91,66;15,2752016296296;12;155;13;47,9598;8,50041;21340;"6"
"13";0;0;0;1;0;1;0;0;0;0;38;7060;496,77;25,5021239086551;24;159;13;47,8886;8,91306;3660;"6"
