"";"Bill_shock";"Online_account";"Opt_In_Mail";"Opt_In_Post";"Opt_In_Tel";"MA_Grundversorger";"MA_Erweitert";"MA_Restlich";"Recovered";"Continuous_relationship";"Age";"Consumption";"Annual_account";"DBII";"Minimum_contract_term";"Customer_since_interval";"Contract_start_date_interval";"Longitude";"Latitude";"Inhabitants";"Cluster"
"1";1;0;0;1;0;0;1;0;0;0;80;1845;71,52;8,2309326658576;12;152;13;47,9376;8,19061;11538;"7"
"2";0;0;0;1;0;1;0;0;0;0;76;6382;147,88;2,71912678551957;24;154;22;47,9393;8,72714;5581;"6"
"3";0;0;0;1;0;1;0;0;0;0;60;3708;110,38;4,00066912446623;24;160;18;48,0056;8,47567;5025;"6"
"4";0;0;0;1;0;1;0;0;0;0;50;3186;71,69;6,46950909494833;24;158;19;47,998;8,59023;12315;"6"
"5";0;0;0;1;0;1;0;0;0;0;76;1794;60,68;5,692485;24;154;20;47,9598;8,50041;21340;"6"
"6";0;0;0;1;0;1;0;0;0;0;86;6527;270,71;7,73411207104558;24;154;22;47,9598;8,50041;21340;"6"
"7";0;0;0;1;0;1;0;0;0;0;68;2994;80,41;6,4182153987863;24;160;25;47,9598;8,50041;21340;"6"
"8";1;0;0;1;0;1;0;0;0;0;76;2464;463,5;5,97737845841786;24;155;24;47,907;8,65239;5991;"6"
"9";0;0;0;1;0;1;0;0;0;0;70;3124;116,77;6,18583770820289;24;151;22;48,1381;8,50761;5825;"6"
"10";0;0;0;1;0;1;0;0;0;0;56;3014;143,09;6,53580910179641;24;151;16;48,0056;8,47567;5025;"6"
"11";0;0;0;1;0;1;0;0;0;0;75;3100;88,12;6,17209833817361;24;155;23;47,9598;8,50041;21340;"6"
"12";0;0;0;1;0;1;0;0;0;0;54;3947;125,9;6,94442024564519;24;160;25;48,0204;8,29805;3904;"6"
"13";0;0;0;1;0;1;0;0;0;0;75;3434;76,23;6,45534916036592;24;158;24;48,095;8,55263;3581;"6"
"14";0;0;0;1;0;1;0;0;0;0;78;5032;63,48;7,05342827403434;24;155;22;47,9598;8,50041;21340;"6"
"15";0;0;0;1;0;1;0;0;0;0;46;3643;128,77;6,7126407361734;24;151;19;48,0056;8,47567;5025;"6"
"16";1;0;0;1;0;1;0;0;0;0;85;1357;122,82;8,23457026222236;24;160;37;48,0056;8,47567;5025;"6"
"17";0;0;0;1;0;1;0;0;0;0;80;5448;187,26;7,44742283241042;24;154;24;47,9598;8,50041;21340;"6"
"18";0;0;0;1;0;1;0;0;0;0;54;2884;77,79;6,35698130835864;24;158;25;48,095;8,55263;3581;"6"
"19";0;0;0;1;0;1;0;0;0;0;76;3315;96,33;6,39600719466423;24;154;24;47,9393;8,72714;5581;"6"
"20";0;0;0;1;0;1;0;0;0;0;48;3243;90,9;6,23946731877372;24;160;22;48,0204;8,29805;3904;"6"
"21";0;0;0;1;0;1;0;0;0;0;86;2452;84,06;6,11972402862985;24;158;25;47,998;8,59023;12315;"6"
"22";0;0;0;1;0;1;0;0;0;0;51;5113;59,72;7,09078683820377;24;154;22;47,9393;8,72714;5581;"6"
"23";0;0;0;1;0;1;0;0;0;0;40;2172;128,94;6,19998397435897;24;151;15;48,0204;8,29805;3904;"6"
"24";1;0;0;1;0;0;0;1;0;0;97;3897;627,09;8,12502505707763;24;160;25;48,0543;8,4237;17568;"1"
"25";0;0;0;1;0;1;0;0;0;0;85;2949;81,75;6,21609483893558;24;160;24;48,0204;8,29805;3904;"6"
"26";1;1;0;1;0;1;0;0;0;0;56;4186;1400,79;5,03500788642468;24;151;25;48,1381;8,50761;5825;"0"
"27";0;0;0;1;0;1;0;0;0;0;74;5650;109,47;7,88525181656941;24;151;25;47,9598;8,50041;21340;"6"
"28";0;0;0;1;0;1;0;0;0;0;78;11233;346,94;6,13971416666665;24;155;23;47,907;8,65239;5991;"6"
"29";0;0;0;1;0;1;0;0;0;0;73;4510;156,92;6,8169;24;155;22;47,907;8,65239;5991;"6"
"30";0;0;0;1;0;1;0;0;0;0;73;5041;115,09;7,05904000000001;24;155;22;47,9598;8,50041;21340;"6"
"31";0;0;0;1;0;1;0;0;0;0;83;1786;78,85;5,81512626373626;24;151;16;48,1381;8,50761;5825;"6"
"32";0;0;0;1;0;1;0;0;0;0;69;4346;223,66;7,32027812423873;24;151;16;48,1381;8,50761;5825;"6"
"33";0;0;0;1;0;1;0;0;0;0;48;2570;127,3;5,17524767006812;24;160;22;48,0204;8,29805;3904;"6"
"34";1;0;0;1;0;0;0;1;0;0;71;1199;114,69;8,2858295;24;160;13;48,1917;8,34549;3632;"1"
"35";1;0;0;1;0;1;0;0;0;0;50;16153;1773,03;-2,02493634250789;24;154;23;47,8193;8,67623;4577;"0"
"36";0;0;0;1;0;1;0;0;0;0;79;4247;150,61;6,69651333333334;24;155;22;47,8961;8,50809;7436;"6"
"37";0;0;0;1;0;1;0;0;0;0;64;5015;381,65;7,53563414879828;24;158;25;47,6246;8,12394;7240;"6"
"38";0;0;0;1;0;1;0;0;0;0;52;10251;487,52;2,32528981233031;24;155;22;47,907;8,65239;5991;"6"
"39";0;0;0;1;0;1;0;0;0;0;77;6439;88,26;8,32136630313197;24;158;25;48,095;8,55263;3581;"6"
"40";0;0;0;1;0;1;0;0;0;0;65;6072;186,14;7,75507831438433;24;154;24;47,9598;8,50041;21340;"6"
"41";0;0;0;1;0;0;0;1;0;0;70;4188;162,58;5,20276137581767;24;160;24;48,0543;8,4237;17568;"1"
"42";0;0;0;1;0;1;0;0;0;0;76;2898;74,29;6,36582563665302;24;151;25;48,1533;8,42231;5895;"6"
"43";0;0;0;1;0;1;0;0;0;0;48;2450;255,99;6,20466666666667;24;158;16;47,998;8,59023;12315;"6"
"44";0;0;0;1;0;1;0;0;0;0;82;4186;46,13;6,66435166666667;24;155;23;47,9598;8,50041;21340;"6"
"45";0;0;0;1;0;1;0;0;0;0;80;3627;77,13;6,41335586644893;24;154;22;47,9598;8,50041;21340;"6"
"46";0;0;0;1;0;1;0;0;0;0;77;4784;-635,82;7,40805151515151;24;155;25;47,907;8,65239;5991;"6"
"47";0;0;0;1;0;1;0;0;0;0;72;3496;107,76;6,3541119928859;24;159;22;47,9319;8,87866;4507;"6"
"48";0;0;0;1;0;1;0;0;0;0;57;1911;219;5,81940136544772;24;151;25;48,1381;8,50761;5825;"6"
"49";0;0;0;1;0;1;0;0;0;0;58;5520;151,77;5,08343723786471;24;158;25;47,998;8,59023;12315;"6"
"50";1;0;0;1;0;1;0;0;0;0;76;6555;400,3;4,73712987593456;24;158;19;48,095;8,55263;3581;"6"
"51";0;0;0;1;0;1;0;0;0;0;77;3939;105,15;6,5538775;24;155;23;47,8961;8,50809;7436;"6"
"52";0;0;0;1;0;1;0;0;0;0;37;5688;193,4;7,90598152511577;24;155;25;47,9598;8,50041;21340;"6"
"53";0;0;0;1;0;1;0;0;0;0;60;5685;221,45;7,90568749999999;24;155;25;47,9598;8,50041;21340;"6"
"54";1;0;0;1;0;0;0;1;0;0;67;2406;162,96;6,82953890389757;24;151;15;48,0543;8,4237;17568;"1"
"55";0;0;0;1;0;1;0;0;0;0;58;4776;134,37;3,161390332148;24;155;20;47,907;8,65239;5991;"6"
