"";"Bill_shock";"Online_account";"Opt_In_Mail";"Opt_In_Post";"Opt_In_Tel";"MA_Grundversorger";"MA_Erweitert";"MA_Restlich";"Recovered";"Continuous_relationship";"Age";"Consumption";"Annual_account";"DBII";"Minimum_contract_term";"Customer_since_interval";"Contract_start_date_interval";"Longitude";"Latitude";"Inhabitants";"Cluster"
"1";0;0;0;1;0;1;0;0;0;0;61;3159;181,32;14,0444293255683;24;151;37;48,0056;8,47567;5025;"8"
"2";0;0;0;1;0;0;0;1;0;0;78;2858;143,88;14,2227066248999;24;160;13;48,0543;8,4237;17568;"1"
"3";0;0;0;1;0;1;0;0;0;0;83;2657;139,38;12,5687396392276;24;151;37;48,1381;8,50761;5825;"8"
"4";0;0;0;1;0;1;0;0;0;0;38;2386;162,13;11,7731804825462;24;160;13;48,0204;8,29805;3904;"8"
"5";1;0;1;1;1;1;0;0;0;0;69;4661;292,81;13,8620188845896;24;154;13;47,8193;8,67623;4577;"0"
"6";0;0;0;1;0;0;0;1;0;0;65;2339;114,16;13,7719133618844;12;160;30;48,0543;8,4237;17568;"1"
"7";0;0;0;1;0;0;0;1;0;0;45;1765;72,45;10,5183340909091;12;160;13;48,1917;8,34549;3632;"1"
"8";0;0;0;1;0;1;0;0;0;0;66;2548;-34,76;13,0706981860196;12;159;13;47,8233;8,8224;3631;"8"
"9";0;0;0;1;0;1;0;0;0;0;61;7328;59,73;8,37295333333334;24;155;24;47,907;8,65239;5991;"0"
"10";0;0;0;1;0;1;0;0;0;0;50;2907;1033,24;13,2257048979543;12;158;13;48,1533;8,42231;5895;"0"
"11";1;0;1;1;0;0;0;1;0;0;70;2368;269,01;12,7132511442786;24;151;13;48,0543;8,4237;17568;"1"
"12";0;0;0;1;0;0;0;1;0;0;77;2766;153;13,5843528810046;24;139;0;48,0543;8,4237;17568;"1"
"13";0;0;0;1;1;1;0;0;0;0;65;4135;132,16;13,8678266085513;24;158;13;48,095;8,55263;3581;"3"
"14";0;0;0;1;0;1;0;0;0;0;72;4854;104,95;14,0394522606868;12;158;13;48,095;8,55263;3581;"8"
"15";0;0;0;1;0;0;1;0;0;0;84;4134;161,3;12,7545304406428;12;152;13;47,9376;8,19061;11538;"6"
"16";0;0;0;1;1;1;0;0;0;0;86;3071;135,51;12,7619559748379;12;151;13;48,1381;8,50761;5825;"3"
"17";0;0;0;1;0;1;0;0;0;0;76;2900;680,96;13,2835197082557;24;159;37;47,8233;8,8224;3631;"0"
"18";0;0;0;1;1;1;0;0;0;0;78;2911;33,44;13,3153944782224;24;158;13;47,8851;8,35481;7590;"3"
"19";0;0;0;1;0;1;0;0;0;0;45;3521;100,27;13,9330768761639;12;158;37;48,095;8,55263;3581;"8"
"20";1;0;0;1;0;1;0;0;0;0;40;1501;77,93;8,67310222317351;12;159;37;47,9319;8,87866;4507;"0"
"21";0;0;0;1;0;1;0;0;0;0;78;2378;130,69;11,4336804235079;24;155;26;47,907;8,65239;5991;"8"
"22";0;0;0;1;0;0;0;1;0;0;61;3111;46,36;13,6129940689468;24;148;0;48,1917;8,34549;3632;"1"
"23";0;0;0;1;0;1;0;0;0;0;86;3440;185;13,7227182698828;12;153;37;47,9746;8,26322;2129;"8"
"24";1;0;0;1;0;0;0;1;0;0;85;2990;347,53;13,2671066452769;24;160;30;48,1917;8,34549;3632;"1"
"25";0;0;0;1;0;1;0;0;0;0;76;2516;27,72;12,69114317085;12;154;22;47,9393;8,72714;5581;"8"
"26";0;0;0;1;0;1;0;0;0;0;93;3247;156,42;13,2195759718472;12;151;13;48,1381;8,50761;5825;"8"
"27";0;0;0;1;0;1;0;0;0;0;83;3120;159,67;12,8892679865912;12;157;13;47,9319;8,87866;4507;"8"
"28";0;0;0;1;0;1;0;0;0;0;61;1807;313,88;10,1627753942398;24;154;36;47,9598;8,50041;21340;"0"
"29";0;0;0;1;0;1;0;0;0;0;73;3305;97,57;13,3706434042809;12;158;13;48,095;8,55263;3581;"8"
"30";1;0;0;1;0;1;0;0;0;0;60;3357;257,36;12,7194081872012;24;151;13;48,0056;8,47567;5025;"8"
"31";0;0;0;1;0;1;0;0;0;0;71;3615;113,7;14,1790041666667;12;155;37;47,907;8,65239;5991;"8"
"32";0;0;0;1;0;0;1;0;0;0;86;3308;138,67;13,5568670052456;12;152;37;47,9376;8,19061;11538;"6"
"33";1;0;0;1;0;1;0;0;0;0;53;2683;200,33;12,6454979336767;24;160;13;48,0204;8,29805;3904;"8"
"34";0;0;0;1;0;1;0;0;0;0;69;2759;121,6;12,8689110216573;24;158;13;48,095;8,55263;3581;"8"
"35";1;0;0;1;0;1;0;0;0;0;78;3144;387,35;13,9986870028867;24;159;13;47,8233;8,8224;3631;"8"
"36";0;0;0;1;0;0;0;1;0;0;77;2837;119,85;13,3295225623269;12;160;13;48,0543;8,4237;17568;"1"
"37";0;0;0;1;0;1;0;0;0;0;62;3155;-5,53;12,9796668418142;12;158;13;48,1533;8,42231;5895;"8"
"38";0;0;0;1;0;1;0;0;0;0;46;4273;62,68;11,7217928236225;12;159;22;47,7811;8,7633;8186;"8"
"39";0;0;0;1;0;0;0;1;0;0;75;2775;103,38;12,9154585387903;24;160;13;48,1917;8,34549;3632;"1"
"40";0;0;0;1;0;1;0;0;0;0;69;4001;385,48;13,8696242530049;24;151;13;48,1533;8,42231;5895;"8"
"41";0;0;1;1;0;1;0;0;0;0;73;3067;106,56;12,7511834191177;12;156;13;47,8961;8,50809;7436;"0"
"42";0;0;0;1;0;1;0;0;0;0;46;3140;190,13;12,9412840142371;12;160;13;48,1381;8,50761;5825;"8"
"43";0;0;0;1;0;0;0;1;0;0;63;2750;168,73;12,9723112095716;12;151;13;48,0543;8,4237;17568;"1"
"44";1;0;0;1;0;1;0;0;0;0;73;2621;318,01;14,0581929545455;24;159;13;47,8233;8,8224;3631;"8"
"45";0;0;0;1;0;0;0;1;0;0;57;2921;79,05;12,9698129131629;24;160;13;48,1917;8,34549;3632;"1"
"46";1;0;0;1;0;1;0;0;0;0;69;3185;224,97;14,1195494598766;24;159;13;47,9319;8,87866;4507;"8"
"47";0;0;0;1;0;1;0;0;0;0;75;4301;260;13,8316562478232;24;159;13;47,8233;8,8224;3631;"8"
"48";0;0;0;1;0;1;0;0;0;0;82;2998;90,14;12,5710065070922;12;154;37;47,9393;8,72714;5581;"8"
"49";1;0;0;1;0;1;0;0;0;0;47;1977;265,87;9,91318710422579;12;156;37;47,8961;8,50809;7436;"0"
"50";0;0;0;1;0;0;0;1;0;0;55;2559;65,85;13,3005530707763;24;160;37;48,0543;8,4237;17568;"1"
"51";0;0;0;1;0;1;0;0;0;0;89;1820;-16,4;9,50402575757575;12;154;37;47,9598;8,50041;21340;"0"
"52";1;0;0;1;0;1;0;0;0;0;92;5255;195,66;14,1040829024656;12;158;13;48,1533;8,42231;5895;"0"
"53";0;0;0;1;0;1;0;0;0;0;60;4090;21,31;13,0610340032388;12;158;13;48,1533;8,42231;5895;"8"
"54";0;0;0;1;0;1;0;0;0;0;75;2328;61,75;11,2918924209948;24;152;26;47,8851;8,35481;7590;"8"
"55";1;0;0;1;0;1;0;0;0;0;61;2095;397,3;10,2200361235119;12;159;37;47,9319;8,87866;4507;"0"
"56";0;0;0;1;0;0;0;1;0;0;85;2683;153,42;12,644627808215;24;160;13;48,1917;8,34549;3632;"1"
"57";1;0;0;1;0;1;0;0;0;0;83;3221;338,32;13,152675530303;12;151;13;48,0056;8,47567;5025;"8"
"58";0;0;0;1;0;1;0;0;0;0;79;3184;30,8;14,0330875059609;12;158;13;48,095;8,55263;3581;"8"
"59";0;0;0;1;0;1;0;0;0;0;81;2813;79,64;12,2066542339833;12;154;26;47,9598;8,50041;21340;"8"
"60";0;0;0;1;0;1;0;0;0;0;64;5066;102,58;14,2299827660239;12;154;13;47,9598;8,50041;21340;"8"
"61";0;0;0;1;0;1;0;0;0;0;76;3613;26,93;12,7184419475844;24;158;13;47,998;8,59023;12315;"8"
"62";1;0;0;1;0;1;0;0;0;0;79;3623;275,62;12,7419427195805;24;159;13;47,7811;8,7633;8186;"8"
"63";0;0;0;1;0;1;0;0;0;0;74;3592;-10,64;14,1184280009441;12;154;37;47,9598;8,50041;21340;"8"
"64";1;0;0;1;0;0;0;1;0;0;54;2654;210,97;13,7043051469606;24;151;13;48,0543;8,4237;17568;"1"
"65";0;0;0;1;0;1;0;0;0;0;77;2551;-235,69;11,5138056018518;12;153;26;51,8221;8,16402;29037;"0"
"66";0;0;0;1;0;1;0;0;0;0;77;1643;97,93;9,59055910443539;24;153;37;47,894;8,0779;2543;"8"
"67";0;0;0;1;0;0;0;1;0;0;64;3698;83,3;13,7332793918819;24;148;0;48,1917;8,34549;3632;"1"
"68";0;0;0;1;0;1;0;0;0;0;57;3003;183,98;12,5852596316166;12;160;13;47,9598;8,50041;21340;"8"
"69";0;0;0;1;0;1;0;0;0;0;80;8963;93,25;9,71644991532046;24;154;25;47,9598;8,50041;21340;"0"
"70";0;0;0;1;0;0;1;0;0;0;46;3248;-48,6;13,3939343209877;12;153;13;47,9376;8,19061;11538;"6"
"71";0;0;0;1;0;1;0;0;0;0;76;3604;80,97;14,1489263055124;12;153;37;47,8687;8,19993;4872;"8"
"72";0;0;0;1;0;1;0;0;0;0;74;3200;135,94;14,1648759127841;24;158;13;48,095;8,55263;3581;"8"
"73";0;0;0;1;0;1;0;0;0;0;63;2893;325,73;13,2628723421372;24;153;37;47,8687;8,19993;4872;"8"
"74";0;0;0;1;0;1;0;0;0;0;47;3058;55,59;12,72771667485;12;155;13;47,9598;8,50041;21340;"8"
"75";0;0;0;1;0;1;0;0;0;0;48;1716;113,49;9,80540447040499;24;155;37;47,907;8,65239;5991;"8"
"76";0;0;0;1;0;1;0;0;0;0;76;7066;125,31;8,6675937900641;24;158;25;47,998;8,59023;12315;"0"
"77";0;0;0;1;0;1;0;0;0;0;80;1789;124,43;9,42111615663322;12;156;37;47,8961;8,50809;7436;"8"
"78";1;0;0;1;0;1;0;0;0;0;78;1736;151,75;9,86433163814181;24;159;13;47,8233;8,8224;3631;"0"
"79";0;0;0;1;0;0;0;1;0;0;67;3106;-34,94;12,700005549712;24;151;13;48,0543;8,4237;17568;"1"
"80";0;0;0;1;0;1;0;0;0;0;61;1796;69,94;8,71769538726334;24;158;13;48,1533;8,42231;5895;"8"
"81";0;0;0;1;0;1;0;0;0;0;63;3329;184,12;13,4339418939394;12;160;13;48,0056;8,47567;5025;"8"
"82";0;0;0;1;0;1;0;0;0;0;69;2899;156,75;14,2154188971973;12;159;13;47,8233;8,8224;3631;"8"
"83";0;0;0;1;0;1;0;0;0;0;88;3757;195,86;14,4129538448935;12;151;13;48,0056;8,47567;5025;"8"
"84";0;0;0;1;0;1;0;0;0;0;71;4125;118,62;13,8459486426687;24;159;13;47,8233;8,8224;3631;"8"
"85";0;0;0;1;0;1;0;0;0;0;72;3905;113,34;13,1782146857923;12;143;0;47,8961;8,50809;7436;"8"
"86";0;0;0;1;0;1;0;0;0;0;51;3647;88,67;12,793971542587;24;159;13;47,8233;8,8224;3631;"8"
"87";0;0;0;1;0;1;0;0;0;0;81;1753;108,06;9,32782966850266;12;160;37;48,0056;8,47567;5025;"8"
"88";0;0;0;1;0;0;0;1;0;0;81;2808;140,32;14,0681189993972;24;160;13;48,0543;8,4237;17568;"1"
"89";0;0;0;1;1;1;0;0;0;0;53;4128;230,6;13,8528464488808;24;160;13;47,9598;8,50041;21340;"3"
"90";0;0;0;1;0;0;1;0;0;0;77;3100;-179,7;12,9922614553786;12;152;37;47,9376;8,19061;11538;"6"
"91";0;0;0;1;0;1;0;0;0;0;85;3133;128,25;13,9672731750561;24;158;37;48,095;8,55263;3581;"8"
"92";1;0;0;1;0;0;0;1;0;0;81;3199;241,67;14,3391566511772;12;160;13;48,0543;8,4237;17568;"1"
"93";0;0;0;1;0;1;0;0;0;0;38;2353;109,35;11,6753770491388;24;141;0;47,9746;8,26322;2129;"8"
"94";0;0;0;1;0;1;0;0;0;0;70;2883;128,55;13,232875559385;24;160;13;47,9598;8,50041;21340;"8"
"95";1;0;0;1;0;0;0;1;0;0;44;2183;172,75;12,1428483783166;24;151;13;48,0543;8,4237;17568;"1"
"96";1;0;0;1;0;1;0;0;0;0;59;2860;189,53;13,1660050387597;24;160;13;48,0204;8,29805;3904;"8"
